GroupID,Name,Postcode,URN
2,Hyde Community College,SK14 4SP,106268
3,Elms Bank ,M45 8PJ,146891
4,Co-operative Academy of Manchester,M9 0WQ,136174
5,Whalley Range High School,M16 8GW,141264
6,All Hallows RC High School,M6 8AA,131512
7,Oakwood Academy,M30 9DY,138130
8,Heaton School,SK4 4RE,106173
9,St Peter and St Paul RC Primary School,BL3 6HP,105225
10,The Ferns Primary Academy,BL4 0DA,138399
11,The Olive Tree Primary School,BL3 3NY,139776
12,All Saints CofE Primary School,BL4 7PY,105238
13,Beaumont Primary School,BL3 4RX,105173
14,Blackshaw Primary School,BL2 6TE,105175
15,Clarendon Primary School,BL3 6SN,105153
16,Claypool Primary School,BL6 6LN,105195
17,Devonshire Road Primary School,BL1 4ND,105154
18,Eagley Junior School,BL7 9AT,138152
19,ESSA Primary,BL3 3LA,140973
20,High Lawn Primary School,BL1 7EX,105156
21,Highfield Primary School,BL4 0AP,105182
22,Johnson Fold Community Primary School,BL1 5UG,105157
23,Kearsley West Primary School,BL4 9BZ,105186
24,Lever Edge Primary Academy,BL3 3HP,136395
25,Masefield Primary School,BL3 1NG,143031
26,Moorgate Primary School,BL2 2RH,105171
27,Prestolee Primary School,M26 1HJ,141915
28,Queensbridge Primary School,BL4 7BL,133925
29,Red Lane Primary School,BL2 5HP,143030
30,Sacred Heart RC Primary School,BL5 3DU,105243
31,St Andrew's CofE Primary School  Over Hulton,BL5 1EN,105236
32,St Bartholomew's CofE Primary School,BL5 3NZ,105237
33,St Bede Academy,BL3 3LJ,136889
34,St Bernard's RC Primary School  Bolton,BL3 4RX,105230
35,St Brendan's RC Primary School  Harwood  Bolton,BL2 4DZ,105246
36,St Catherine's CofE Primary School,BL6 5SJ,144045
37,St John the Evangelist RC,BL7 9HT,105249
38,St Mary's RC Primary School,BL6 6EP,105250
39,St Paul's CofE Primary School  Astley Bridge,BL1 8QA,138851
40,St Saviour CofE Primary School  Ringley,M26 1EU,105248
41,St Thomas CofE Primary School  Halliwell,BL5 3HP,105234
42,The Gates Primary School,BL5 3QA,133926
43,The Oaks Primary School,BL1 7HS,105176
44,The Orchards Nursery School,BL4 0RA,105145
45,The Valley Community Primary School,BL1 8JG,133980
46,All Saints Church of England Primary School  Stand,M45 8PL,105325
47,Bury and Whitefield Jewish Primary School,BL9 8JT,105352
48,Butterstile Primary School,M25 9RJ,105297
49,Chantlers Primary School,BL8 2SF,105291
50,Chesham Primary School,BL9 6PH,105293
51,Fairfield Community Primary School,BL9 7SD,105287
52,Greenhill Primary School,BL8 2JH,105290
53,Greenmount Primary School,BL8 4HD,105301
54,Guardian Angels Roman Catholic Primary School  Bury,BL8 2RH,105334
55,Hazlehurst Community Primary School,BL0 9PQ,105296
56,Heaton Park Primary School,M45 6TE,105306
57,Higher Lane Primary School,M45 7EX,144575
58,Holcombe Brook Primary School,BL0 9TA,105311
59,Mersey Drive Community Primary School,M45 8LN,105299
60,Millwood Primary Special School,M26 3BW,105377
61,Old Hall Primary School,BL8 4LU,105294
62,"Our Lady of Lourdes Roman Catholic Primary School, Bury",BL8 1YA,105337
63,Peel Brow School,BL0 0BJ,105368
64,Radcliffe Hall Church of England/Methodist Controlled Primary School,M26 2GB,147159
65,Ribble Drive Community Primary School,M45 8WJ,105300
66,Sedgley Park Community Primary School,M25 0HT,105308
67,Springside Primary School,BL9 5JB,105316
68,St Andrew's Church of England Primary School  Radcliffe,M26 4GE,105350
69,St Bernadette's Roman Catholic Primary School  Whitefield,M45 8PT,105347
70,St John with St Mark CofE Primary School,BL9 5EE,133929
71,St John's Church of England Primary School  Radcliffe,M26 1AW,145560
72,St Joseph and St Bede RCPrimary School,BL9 6ER,105336
73,St Joseph's Roman Catholic Primary School  Ramsbottom,BL0 9JJ,105343
74,St Mary's Roman Catholic Primary School  Radcliffe,M26 4DG,105353
75,St Paul's Church of England Primary School  Bury,BL9 6LJ,105332
76,St Stephen's Church of England Primary School,BL8 2DX,130327
77,St Thomas Church of England Primary School,BL9 7EY,146156
78,Sunny Bank Primary School,BL9 8EQ,144593
79,Tottington Primary School,BL8 3HR,147551
80,Unsworth Primary School,BL9 8LY,146932
81,Wesley Methodist Primary School,M26 4PX,146996
82,Ashbury Meadow Primary School,M11 3NA,133770
83,Barlow Hall Primary School,M21 7JG,144128
84,Bowker Vale Primary School,M8 4NB,105397
85,Co-op Academy Broadhurst,M40 0BX,146227
86,Brookburn Community School,M21 8EH,144131
87,Cavendish Primary School,M20 1LU,105403
88,Cheetham CE Primary School,M8 9FR,137601
89,Claremont Primary School,M14 7NA,105408
90,Cravenwood Primary Academy,M8 5AE,140661
91,Crumpsall Lane Primary School,M8 5SR,105486
92,E-ACT Blackley Academy,M9 0RD,137689
93,Green End Primary School,M19 1BX,140130
94,Irk Valley Community School,M8 5XH,105452
95,Ladybarn Primary School,M20 4SR,140137
96,Lancasterian School,M20 2XA,105608
97,Longsight Community Primary,M13 0QX,139790
98,Manchester Hospital School,M13 9WL,105602
99,Melland High School,M18 7DT,138532
100,Moston Lane Community Primary School,M9 4HH,105428
101,New Islington Free School,M4 6EY,139598
102,Oasis Academy Harpur Mount,M9 5XR,139056
103,Parkview Community Primary School,M40 7EJ,135279
104,Ringway Primary School,M22 0WW,131931
105,Sacred Heart Catholic Primary School,M23 1HD,105536
106,St Aidan's Catholic Primary School,M23 0BW,105519
107,St Ambrose RC Primary School,M21 7QA,105520
108,St Anne's RC Primary School,M4 7EQ,131884
109,St Catherine's RC Primary School,M20 6HS,105524
110,St Elizabeth's Catholic Primary School,M22 5EU,140758
111,St James' CE Primary School Gorton,M18 8LW,141689
112,St Johns RC Primary School,M21 9SN,105546
113,St Margaret Mary's RC Primary School,M40 0JE,105533
114,St Marys CofE Primary School Moston,M40 0DF,105545
115,St Philips' CE Primary School,M15 6BT,105509
116,St Richard's RC Primary School,M12 5TL,105544
117,Stanley Grove Primary Academy,M12 4WZ,138785
118,Alexandra Park Junior School,OL8 2BE,105626
119,Bare Trees Primary School,OL9 0DX,135258
120,Broadfield Primary School,OL8 1LH,105676
121,Buckstones Primary School,OL2 8HN,105671
122,Delph Primary School,OL3 5HA,105669
123,Diggle School,OL3 5PU,105665
124,The Chadderton Preparatory Grammar School,OL9 0AD,105587
125,Greenacres Primary School,OL4 2AX,145537
126,Greenfield Primary School,OL3 7AA,105667
127,Greenfield St Marys CE School,OL3 7DW,105723
128,Greenhill Academy,OL4 1RR,140579
129,Higher Failsworth Primary School,M35 9EA,134784
130,Hodge Clough Primary School,OL1 4JX,136223
131,Holy Family RC Primary School,OL8 3NG,105724
132,"Holy Rosary RC Junior, Infant and Nursery School",OL8 2SR,105701
133,Horton Mill Community Primary School,OL4 1GL,105679
134,Knowsley Junior School,OL4 4BH,105670
135,Littlemoor Primary School,OL4 2RR,105642
136,Lyndhurst Primary and Nursery School,OL8 4JD,142471
137,Mayfield Primary School,OL1 4LG,142550
138,Medlock Valley Community School,OL8 2PN,147453
139,Mills Hill Primary School,OL9 0NH,105648
140,Northmoor Academy,OL9 6DY,142412
141,Richmond Academy,OL9 6HY,139651
142,Roundthorn Primary Academy,OL4 5LN,140100
143,Royton Hall Primary School,OL2 6RW,135341
144,South Failsworth Community Primary School,M35 0NY,105656
145,St Anne's CE Lydgate Primary School,OL4 4DS,144000
146,St Hilda's CE Primary School,OL1 2HJ,105702
147,St Hugh's CE Primary School,OL4 5NZ,105699
148,"St Margarets CE Junior, Infant and Nursery School",OL8 4QS,105705
149,"St Martin's CE Junior, Infant and Nursery School",OL8 2QA,105703
150,St Mary's RC Primary School,M35 0NW,105727
151,St Matthews CE Primary School,OL9 0BN,105709
152,St Patricks RC Primary and Nursery School,OL8 1EF,105726
153,St Pauls CE Primary School,OL2 5LU,131848
154,Thorp Primary School,OL2 5TY,146811
155,Werneth Primary School,OL8 4BL,140597
156,Whitegate End Primary and Nursery School,OL9 8EB,105658
157,Woodhouses Voluntary Primary School,M35 9WL,105688
158,Alkrington Primary School,M24 1JZ,105786
159,All Saints Church of England Primary School,OL12 0EL,105829
160,All Souls CE Primary School,OL10 4DF,105811
161,Bamford Academy,OL11 5PS,137471
162,Belfield Community School,OL16 2XW,105780
163,Bowlee Park Community Primary School,M24 4LA,133446
164,Caldershaw Primary School,OL12 7QL,105779
165,Crossgates Primary School,OL16 3HB,105846
166,Elm Wood Primary School,M24 2EG,105791
167,Healey Foundation Primary School,OL12 0ST,105850
168,Heybrook Primary School,OL12 9BJ,105770
169,Holy Family RC Primary School,OL11 2DN,105830
170,Hopwood Community Primary School,OL10 2HN,105798
171,Kentmere Primary Academy,OL12 9EE,141400
172,Lowerplace Primary School,OL16 4UU,105777
173,Marland Hill Community Primary School,OL11 4QW,105778
174,Milnrow Parish CE Primary School,OL16 3JT,105823
175,Moorhouse Primary School,OL16 4DR,105788
176,Newhey Community Primary School,OL16 4JX,105789
177,Norden Community Primary School,OL12 7RQ,105774
178,"Our Lady & St Paul's RC Primary School, A Voluntary Academy",OL10 3PD,147941
179,Sacred Heart RC Primary School,OL16 4AW,105828
180,Spotland Primary School,OL12 6QG,105776
181,St Edwards CE Primary School,OL11 3AR,105802
182,St Gabriels RC Primary School,OL11 2TN,105825
183,St John Fisher RC Primary School,M24 2PB,105849
184,St Mary's CE Primary School Balderstone,OL11 2HB,105804
185,St Mary's RC Primary School Littleborough,OL15 8DU,105816
186,St Peter's RC Primary School,M24 1FL,105817
187,Woodland Community Primary School,OL10 3BX,135017
188,Springside School,OL16 2SU,135200
189,Barton Moss Community Primary School,M30 7PT,144459
190,Beech Street Community Primary School,M30 8GB,105906
191,Brentnall Primary School,M7 4RP,105893
192,Christ Church CE Primary School,M30 0GZ,105935
193,Christ the King RC Primary School,M28 3DW,105950
194,Ellenbrook Community Primary School,M28 7PS,130396
195,Fiddlers Lane Community Primary School,M44 6JE,105917
196,Hilton Lane Primary School,M28 0JY,105914
197,Holy Family VA RC Primary School,M6 5WX,136080
198,Irlam Endowed Primary School,M44 6EE,105939
199,Lark Hill Community Primary School,M5 4BJ,132147
200,Lewis Street Primary School,M30 0PL,105903
201,Light Oaks Infant School,M6 8LU,105894
202,Lower Kersal Community Primary School,M7 3TN,105886
203,Marlborough Road Academy,M7 4XD,146792
204,Mesne Lea Primary School,M28 7FG,105911
205,Primrose Hill Primary School and Children's Centre,M5 3PJ,129466
206,River View Community Primary School,M7 1QZ,136076
207,St Boniface RC Primary School,M7 2HL,105962
208,St Charles' RC Primary School,M27 9PD,105955
209,St Edmund's RC Primary School,M38 9ND,135307
210,St George's CE Primary School,M6 6SJ,105932
211,St Gilbert's RC Primary School,M30 8LZ,105954
212,St Joseph the Worker RC Primary School,M44 6GX,105961
213,St Mark's CE Primary School,M28 2AB,105949
214,St Mark's RC Primary School,M27 8QE,105956
215,St Mary's RC Primary School Swinton,M27 4AS,105957
216,St Paul's CE Primary School Nevile Road,M7 3PT,105928
217,St Peter's CE Primary School,M27 0WA,105948
218,St Teresa's RC Primary School,M44 5LH,105951
219,St Thomas of Canterbury RC Primary School,M7 4XG,105970
220,Summerville Primary School,M6 7HB,105889
221,The Cathedral School of St Peter and St John RC Primary School,M3 6LU,105964
222,Willow Tree Primary School,M6 5TJ,136079
223,St Sebastian's RC Primary School,M6 6ET,105963
224,All Saints CE Primary (Stockport),SK4 1ND,106103
225,Arden Primary,SK6 2EX,106100
226,Banks Lane Infant,SK1 4PR,106027
227,Bolshaw Primary,SK8 3LW,106029
228,Brabyns Preparatory School,SK6 7DB,106147
229,Bradshaw Hall Primary,SK8 6AN,131554
230,Bridge Hall Primary,SK3 8LX,106032
231,Broadstone Hall Primary School,SK4 5JD,106034
232,Brookside Primary,SK6 8DB,106036
233,Cale Green Primary,SK3 8JE,106091
234,Cheadle Catholic Infant,SK8 6DD,106111
235,Cheadle Heath Primary,SK3 0RJ,133326
236,Didsbury Road Primary,SK4 3HB,106098
237,Etchells Primary,SK8 3DL,106045
238,Fairway Primary,SK2 5DR,106046
239,Gatley Primary,SK8 4NB,141275
240,Great Moor Junior,SK2 7DG,106049
241,Hazel Grove Primary,SK7 4JH,106099
242,Ladybrook Primary,SK7 2LT,106055
243,Lane End Primary,SK8 7AL,106097
244,Ludworth Primary,SK6 5DU,106057
245,Lum Head Primary,SK8 4RR,106093
246,Meadowbank Primary,SK8 2LE,145688
247,Mellor Primary,SK6 5PL,137542
248,Moorfield Primary,SK7 5HP,134883
249,Nevill Road Junior,SK7 3ET,106063
250,Norris Bank Primary,SK4 2NY,106065
