EntityType,EntityID,EntityTitle,TargetType,TargetID,TargetTitle,SetID,Date,Created,Academic Year,URN,Borough,School Type - Education Phase,Type of School,Are they part of an academy (single/multi) or trust,Which academy/trust are they part of,Are they part of a cluster?,Which cluster are they a part of?,Does this School have a Nursery attached?,Percentage of pupils eligible for Free School Meals,Percentage of pupils eligible for pupil premium,IMD Decile,Ofsted rating,How much primary premium do they receive?,Is this School signed up to the Daily Mile?,If not signed up do they do a variant of the Daily Mile,Have they signed up for The Daily Mile Destinations?,Who is responsible for the operation of sports facilities at the school?,"Indoor facilities: Does your school have any of the following?
",Outdoor facilities: Does your school have any of the following?,Other outdoor please specify,Are their facilities open?,What facilities are open?,What facilities are not open to the public,Facility management,If facilities management is out-sourced who is the provider?,When are facilities open?,Overall facilities quality,"How are the facilities currently used outside of normal school hours?
",Who is responsible for opening and closing the facility for community use?,Other - Responsibility for opening and closing facilities,Have they been selected (term)?,Has this school opted into the Active Lives CYP Survey? ,Have they completed the survey,Does this school get involved with the School Games at Level 2?,What level of School Games mark has this school achieved? ,Has this school ever attended our Level 3 School Games events (in the past - pre 2018),Has this school ever attended Level 3 School Games (Post Sept 2018)?,Which level 3 competitions have they attended?,Has this School volunteered at the School Games or accessed DfE funding? ,Are any of their pupils involved in the YLOC?,Does this School have a Satellite Club attached?,Is this school compliant for Primary School Sport Premium? ,Why is the school non-compliant,Was the website analysed as part of the Primary School Sport Premium Mapping?,How much PESSPA do they receive?,Is this School part of Mentally Healthy Schools?,Is this school involved in any other projects?,Is this school a YST member school? ,Engagement with CPD,Part of School Sports Partnership,RAG Rating,Any other important notes,What providers do they use for sport and physical activity?
Group,413,Wardle Academy,,0,,2557,12/11/2020 03:11,12/11/2020 15:51,2020/2021,140055,Rochdale,Secondary,Academy converter,Yes - Multi-academy trust,Wardle Trust,,,No,1700.00%,28.60%,2,Good,,No,,,,,,,Yes,Grass pitches|Sports hall|Swimming pool|Studio|Artificial grass pitch,,,,,,,,,Term 3,,,,,,,,,,,,,,,,PSHE Hub,,,,,"YEAR 1 TERM 1
 - Not completed

",
Group,409,Elizabeth House School,,0,,2558,12/11/2020 03:11,12/11/2020 15:51,2020/2021,145170,Rochdale,Primary|Secondary,Other independent school,,,,,No,0,,2,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Independent school for 6 pupils",
Group,410,Middleton Technology School,,0,,2559,12/11/2020 03:11,12/11/2020 15:51,2020/2021,143319,Rochdale,Secondary,Academy converter,Yes - Multi-academy trust,Great Academies Education Trust,,,No,1860.00%,33.20%,2,Good,,No,,,,,,,No,,Grass pitches|Sports hall|Studio,,,,,,,,Term 1,,No,,,,,,,,,,,,,,Manchester United Foundation,,,,,"YEAR 1 TERM 2
 - Not completed

",
Group,406,Waterhead Academy,,0,,2560,12/11/2020 03:11,12/11/2020 15:51,2020/2021,144508,Oldham,Secondary,Academy sponsor led,Yes - Multi-academy trust,South Pennine Academies,,,Not applicable,2960.00%,42.40%,8,Requires Improvement,,No,,,,,,,No,,Artificial grass pitch|Health and fitness suite|Sports hall|Studio,,,,,,,,Term 3,,No,,,,,,,,,,,,,,Manchester United Foundation|SE Secondary Teacher Training Programme,,,,,"
",
Group,405,The Blue Coat CE School,,0,,2561,12/11/2020 03:11,12/11/2020 15:51,2020/2021,137133,Oldham,Secondary,Academy converter,Yes - Multi-academy trust,Cranmer Education Trust,,,Not applicable,560.00%,11.80%,1,Outstanding,,No,,,,,,,No,,Grass pitches|Sports hall,,,,,,,,Term 3,,Yes,,,,,,,,,,,,,,PSHE Hub,,,,,"Cllr Eddie Moores is Chair of govenors and happy to be contacted (also sits on Trust group) 
Blue Coat schools additional school been built called ""Brain Clark""
",
Group,408,Cardinal Langley RC High School,,0,,2562,12/11/2020 03:11,12/11/2020 15:51,2020/2021,105844,Rochdale,Secondary,Voluntary aided school,,,,,No,1790.00%,28.50%,5,Good,,No,,,,,,,Yes,Sports hall|Grass pitches|Artificial grass pitch,,Out-sourced,SLS,,,,,,Term 2,,Yes,,,,,,,,,,,,,,SE Secondary Teacher Training Programme,,,,,"YEAR 1 TERM 2 - NOT COMPLETED

",
Group,407,Westwood High,,0,,2563,12/11/2020 03:11,12/11/2020 15:51,2020/2021,137822,Oldham,Secondary,Other independent school,,Green Dome Academy,,,Yes,0.00%,,1,Outstanding,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SELECTED 
",
Group,404,Oldham Hulme Grammar School,,0,,2564,12/11/2020 03:11,12/11/2020 15:51,2020/2021,105745,Oldham,Primary|Secondary,Other independent school,,,,,Yes,0.00%,,2,,,No,,,Other,Activity hall (multi-purpose room e.g. assembly hall)|Changing rooms accessible externally|Changing rooms accessible only via the school|Main sports hall (markings for at least 3 badminton courts)|Main swimming pool (at least 15m in length),Changing rooms accessible externally|Changing rooms accessible only via the school|Cricket pitch|Outdoor hard surface area e.g playground (no sport specific markings)|Outdoor tennis/netball court(s)|Playing field|Sports pitch with markings,,Some,Grass pitches|Sports hall|Swimming pool,,Managed in-house,,,Satisfactory - the facilities are generally sufficient to meet the needs of the schools and are fit-for-purpose. Some improvements or additions would be beneficial.,After school clubs|Sports clubs|Regular bookings (block bookings)|Private coaching,Caretaker,,Term 1,,No,,,,,,,,,,,,,,Open Facilities,,,,," YEAR 1 TERM 2
  - Not completed

Facilities: Looking at options for outsourcing management to SLS. Gaps in usage of swimming pool. 
",
Group,403,Iqra High School,,0,,2565,12/11/2020 03:11,12/11/2020 15:51,2020/2021,141087,Oldham,Secondary,Other independent school,,,,,No,0.00%,,1,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,399,St Bede's College,,0,,2566,12/11/2020 03:11,12/11/2020 15:51,2020/2021,105594,Manchester,Primary|Secondary,Other independent school,,,,,Yes,0.00%,,3,,,No,,,,,,,No,,Sports hall,,,,,,,,Term 3,,No,,,,,,,,,,,,,,Healthy Schools,,,,,"
",
Group,398,Sol Christian Academy,,0,,2567,12/11/2020 03:11,12/11/2020 15:51,2020/2021,139831,Manchester,Primary|Secondary,Other independent school,,,,,Yes,0.00%,,3,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",
Group,402,Darul Hadis Latifah Northwest,,0,,2568,12/11/2020 03:11,12/11/2020 15:51,2020/2021,138568,Oldham,Secondary,Other independent school,,,,,No,0.00%,,1,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,400,The East Manchester Academy,,0,,2569,12/11/2020 03:11,12/11/2020 15:51,2020/2021,144494,Manchester,Secondary,Academy sponsor led,Yes - Multi-academy trust,Education and Leadership Trust,,,No,5050.00%,62.90%,1,Special Measures,,No,,,,,,,Yes,Grass pitches|Sports hall,,Out-sourced,SLS,,,,,,Term 2,,No,,,,,,,,,,,,,,Manchester United Foundation,,,,,"
",
Group,394,Manchester Grammar School,,0,,2570,12/11/2020 03:11,12/11/2020 15:51,2020/2021,105591,Manchester,Primary|Secondary,Other independent school,,,,,No,0.00%,,4,,,No,,Yes,,,,,No,,Grass pitches|Sports hall|Swimming pool|Squash courts|Artificial grass pitch,,,,,,,,Term 2,,,,,,,,,,,,,,,,Healthy Schools,,,,,"YEAR 1 TERM 1
 - Not completed

",
Group,397,Manchester Vocational and Learning Academy,,0,,2571,12/11/2020 03:11,12/11/2020 15:51,2020/2021,142224,Manchester,PRU/Other,Other independent school,,,,,No,0.00%,,1,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,395,Manchester Islamic High School for Girls,,0,,2572,12/11/2020 03:11,12/11/2020 15:51,2020/2021,130318,Manchester,Secondary,Other independent school,,,,,No,0.00%,,5,Outstanding,,No,,,,,,,,,,,,,,,,,Term 1,,No,,,,,,,,,,,,,,,,,,,"
",
Group,391,King of Kings,,0,,2573,12/11/2020 03:11,12/11/2020 15:51,2020/2021,105596,Manchester,Primary|Secondary,Other independent school,,,,,Yes,0.00%,,4,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",
