EntityType,EntityID,EntityTitle,TargetType,TargetID,TargetTitle,SetID,Date,Created,Academic Year,URN,Borough,School Type - Education Phase,Type of School,Are they part of an academy (single/multi) or trust,Which academy/trust are they part of,Are they part of a cluster?,Which cluster are they a part of?,Does this School have a Nursery attached?,Percentage of pupils eligible for Free School Meals,Percentage of pupils eligible for pupil premium,IMD Decile,Ofsted rating,How much primary premium do they receive?,Is this School signed up to the Daily Mile?,If not signed up do they do a variant of the Daily Mile,Have they signed up for The Daily Mile Destinations?,Who is responsible for the operation of sports facilities at the school?,"Indoor facilities: Does your school have any of the following?
",Outdoor facilities: Does your school have any of the following?,Other outdoor please specify,Are their facilities open?,What facilities are open?,What facilities are not open to the public,Facility management,If facilities management is out-sourced who is the provider?,When are facilities open?,Overall facilities quality,"How are the facilities currently used outside of normal school hours?
",Who is responsible for opening and closing the facility for community use?,Other - Responsibility for opening and closing facilities,Have they been selected (term)?,Has this school opted into the Active Lives CYP Survey? ,Have they completed the survey,Does this school get involved with the School Games at Level 2?,What level of School Games mark has this school achieved? ,Has this school ever attended our Level 3 School Games events (in the past - pre 2018),Has this school ever attended Level 3 School Games (Post Sept 2018)?,Which level 3 competitions have they attended?,Has this School volunteered at the School Games or accessed DfE funding? ,Are any of their pupils involved in the YLOC?,Does this School have a Satellite Club attached?,Is this school compliant for Primary School Sport Premium? ,Why is the school non-compliant,Was the website analysed as part of the Primary School Sport Premium Mapping?,How much PESSPA do they receive?,Is this School part of Mentally Healthy Schools?,Is this school involved in any other projects?,Is this school a YST member school? ,Engagement with CPD,Part of School Sports Partnership,RAG Rating,Any other important notes,What providers do they use for sport and physical activity?
Group,381,Abbey College Manchester,,0,,6371,17/12/2020 12:12,17/12/2020 12:22,2020/2021,105601,Manchester,Secondary,Other independent school,,,,,No,,,4,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,682,Abbey Hey Primary Academy,,0,,6372,17/12/2020 12:12,17/12/2020 12:23,2020/2021,139404,Manchester,Primary,Academy sponsor led,Yes - Multi-academy trust,United Learning,,,Yes,42.50%,47.10%,1,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Families Project|Change4Life|Healthy Schools|Change4Life,,,,,"
","Professional Sports Clubs, Trusts & Foundations|Private Coaching Company"
Group,298,Abbotsford Preparatory school,,0,,6373,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106386,Trafford,Primary,Other independent school,,,,,Yes,,,5,,,Yes,,,,,,,No,,Artificial grass pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,683,Abbott Community Primary School,,0,,6374,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105387,Manchester,Primary,Community school,,,,,Yes,39.60%,50.70%,1,Outstanding,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",Private Coaching Company
Group,942,Abingdon Primary,,0,,6375,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106074,Stockport,Primary,Community school,,,,,No,24.40%,35.00%,4,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leadership|Intervention programmes|PE Specialist Support|Be Inspired Programme,,,,,"year 1 term 1 - not completed

n",
Group,684,Abraham Moss Community School,,0,,6376,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105560,Manchester,Primary|Secondary,Community school,,,,,Yes,28.50%,43.60%,1,Good,,No,,,,,,,,,,,,,,,,,Term 1,,,,,,,,,,,,,,,,Other (See notes)|SE Secondary Teacher Training Programme|Healthy Schools,,,,,"Selected for Violence Reduction Unit (VRU) education pilot 

",
Group,325,Abram Bryn Gates Primary School,,0,,6377,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106414,Wigan,Primary,Community school,,,,HIPS,No,26.40%,31.30%,1,Requires Improvement,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"year 1 term 2 - not completed
",
Group,685,Acacias Community Primary School,,0,,6378,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105401,Manchester,Primary,Community school,,,,,Yes,16.60%,19.60%,4,Good,,No,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,Change4Life|Healthy Schools|Change4Life,,,,,"
",Private Coaching Company
Group,1171,Acorns School,,0,,6379,17/12/2020 12:12,17/12/2020 12:23,2020/2021,131551,Stockport,SEND,Other independent special school,,,,,,,,6,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,299,Acre Hall Primary School,,0,,6380,17/12/2020 12:12,17/12/2020 12:23,2020/2021,138977,Trafford,Primary|SEND,Academy sponsor led,Yes - Multi-academy trust,The Dunham Trust,,,Yes,20.90%,29.50%,3,Good,,Yes,,Yes,,,,,No,,Grass pitches|Sports hall,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Mental Health pilot phase 3

",Private Coaching Company|Other
