IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,CategoryType,Category,Timeperiod,Value,LowerCI95.0limit,UpperCI95.0limit,LowerCI99.8limit,UpperCI99.8limit,Count,Denominator,Valuenote,RecentTrend,ComparedtoEnglandvalueorpercentiles,ComparedtoDistrict&UA(pre4/19)valueorpercentiles,TimeperiodSortable,Newdata,Comparedtogoal
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000984,Bolton 001,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,24.2063492063492,19.3307685963756,29.856513011837,NA,NA,61,252,NA,NA,Better,Better,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000985,Bolton 002,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,25.702811244979902,20.6729043936159,31.4710198803661,NA,NA,64,249,NA,NA,Better,Better,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000986,Bolton 003,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,35.8885017421603,30.5590223879245,41.5907528441076,NA,NA,103,287,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000987,Bolton 004,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,36.3636363636364,30.4302182236914,42.743172745532,NA,NA,84,231,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000988,Bolton 005,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,32.5459317585302,28.0356901086751,37.4046238305859,NA,NA,124,381,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000989,Bolton 006,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,30.3643724696356,24.9666921008245,36.3634642233989,NA,NA,75,247,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000990,Bolton 007,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,34.9206349206349,29.3011522286445,40.9929508653875,NA,NA,88,252,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000991,Bolton 008,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,35.8024691358025,30.0386008561237,42.0082342542936,NA,NA,87,243,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000992,Bolton 009,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,37.1859296482412,30.7731709687322,44.0840400292016,NA,NA,74,199,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000993,Bolton 010,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,39.2757660167131,34.3630581531324,44.415552138463,NA,NA,141,359,NA,NA,Worse,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000994,Bolton 011,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,36.7541766109785,32.2774821682065,41.4715441667279,NA,NA,154,419,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000995,Bolton 012,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,33.8557993730408,28.8823498905101,39.2134453718926,NA,NA,108,319,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000996,Bolton 013,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,37.9679144385027,33.195323893451,42.9851618899501,NA,NA,142,374,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000997,Bolton 014,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,30.3571428571429,23.9075571978006,37.6849476302299,NA,NA,51,168,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000998,Bolton 015,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,37.4384236453202,32.8692189290556,42.2431085808303,NA,NA,152,406,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02000999,Bolton 016,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,33.3333333333333,28.33324340467,38.7388438417856,NA,NA,104,312,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02001000,Bolton 017,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,40.9722222222222,35.4476138115352,46.7344927986334,NA,NA,118,288,NA,NA,Worse,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02001001,Bolton 018,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,35.625,30.5769679936644,41.0140690727357,NA,NA,114,320,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02001002,Bolton 019,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,33.160621761658,28.6502248570245,38.0028857707518,NA,NA,128,386,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02001003,Bolton 020,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,30.2564102564103,24.2415375299669,37.0341438814057,NA,NA,59,195,NA,NA,Similar,Similar,20160000,NA,NA
93108,"Children with excess weight Year 6, three year average",E08000001,Bolton,E02001004,Bolton 021,MSOA,Persons,10-11 yrs,NA,NA,2016/17 - 18/19,30.3030303030303,25.9837163799597,35.0008197258979,NA,NA,120,396,NA,NA,Similar,Better,20160000,NA,NA
