,X,Constituency,Area.Code,Number.2014.15,Number.2015.16,Number.2016.17,Number.2017.18,Number.2018.19,Percentage.2014.15,Percentage.2015.16,Percentage.2016.17,Percentage.2017.18,Percentage.2018.19,Change
1,1,Altrincham and Sale West,E14000532,3289,3399,3667,3267,3267,16,16.3,17.1,15.1,14.9,-1.1
2,2,Cheadle,E14000627,3147,3056,3395,3101,3221,18.5,17.7,19.4,17.6,18,-0.5
3,3,Wythenshawe and Sale East,E14001059,7123,7260,7726,7839,7752,31.1,31.3,33.1,33,32.1,1
4,4,Hazel Grove,E14000738,2996,3014,3271,3204,3266,21.2,21.1,22.6,22.1,22.5,1.3
5,5,Stockport,E14000969,5238,5240,5920,5940,5875,29.4,28.8,32.4,32,31.2,1.8
6,6,Bury South,E14000612,6015,6054,6662,6532,6626,29.5,29.5,32.3,31.3,31.6,2.1
7,7,Worsley and Eccles South,E14001054,6529,6687,7357,7506,7482,30.9,31.3,33.9,34,33.1,2.2
8,8,Makerfield,E14000805,5873,6019,5640,6021,6365,31.8,32.3,30.2,32.2,34,2.2
9,9,Bolton West,E14000580,4822,4812,5275,5269,5321,27.3,27,29.5,29.3,29.6,2.3
10,10,Heywood and Middleton,E14000747,6222,6306,6716,6993,7095,30.9,31.1,32.5,33.2,33.1,2.3
11,11,Stretford and Urmston,E14000979,5905,6146,6859,6567,6571,28.1,29.3,32.4,30.7,30.7,2.6
12,12,Manchester Withington,E14000809,5302,5518,6113,5960,5868,32,32.9,36.1,34.9,34.5,2.6
13,13,Denton and Reddish,E14000661,4437,4287,4768,4891,5072,27.5,26.3,29.2,29.7,30.4,2.9
14,14,Wigan,E14001039,7016,7117,6577,7115,7772,36.6,37,34,36.6,39.6,3
15,15,Salford and Eccles,E14000911,6028,6335,7354,7251,7086,32.2,33.4,38,37.1,35.6,3.4
16,16,Stalybridge and Hyde,E14000967,5689,5798,6620,6551,6690,30.8,31.3,35.4,34.5,34.8,4
17,17,Leigh,E14000785,6904,7094,6470,6993,7981,35.2,36.4,33.1,35.6,40.2,5
18,18,Bury North,E14000611,5562,6014,6300,6431,6642,32,34.3,35.6,36,37.3,5.3
19,19,Manchester Central,E14000807,9537,10731,12009,12032,12158,38.9,42.5,45.9,45.1,44.8,5.9
20,20,Ashton-under-Lyne,E14000537,5880,6278,6794,7027,7226,32.6,34.5,37.1,38.3,38.9,6.3
21,21,Bolton North East,E14000578,7255,7827,8632,8955,8998,36.8,39.4,43.1,43.8,43.5,6.6
22,22,Rochdale,E14000897,9493,10516,11343,11772,11834,38.5,42.2,44.8,45.6,45.5,7
23,23,Blackley and Broughton,E14000571,11212,12740,14017,14638,14869,38.5,42,44.8,45.8,45.9,7.4
24,24,Oldham East and Saddleworth,E14000870,8494,9483,10448,10728,10969,37,40.8,44.3,45.2,45.7,8.7
25,25,Manchester Gorton,E14000808,9463,10922,12208,12531,12664,38.6,42.9,46.5,47.3,47.6,9
26,26,Oldham West and Royton,E14000871,9503,10986,11820,12390,12290,38.5,43.6,46.5,48.3,48,9.4
27,27,Bolton South East,E14000579,8852,10150,10869,11743,11833,37.1,42.1,44.1,46.9,46.7,9.6
