name,hubClub_names,deliveryOrganisation_name,firstFundingYear_name,clubType_names,inclusiveFocussedClubType_names,postcode,sport_name,age_names,ladcua_name,currentStatus_name,latitude,longitude
Urmston Grammar,Manchester Giants,,2013-14,Inclusive (disability) focussed,,M41 5UG,Basketball,12;13;14;15,Trafford,Sustained - Not funded,53.45029804,-2.35961941
Sale Grammar,Brooklands Hockey Club,,2013-14,No specific focus,,M33 3NH,Hockey,14;15;16,Trafford,Sustained - Not funded,53.41785837,-2.313599675
St Josephs,AFC Masters,,2013-14,No specific focus,,BL6 6HW,Football,17;18,Bolton,Sustained - Not funded,53.5862552,-2.526988913
Broadway Amateur Swimming Association,Broadway Amateur Swimming Association,,2014-15,No specific focus,,M40 3LN,Swimming,12;13,Manchester,Temporarily inactive,53.52025796,-2.165790606
Kingsway Park High School,Bridge Football Club,,2013-14,Inclusive (disability) focussed,,OL16 4XA,Football,11;12;13;14;15;16,Rochdale,Sustained - Not funded,53.6036887,-2.137128622
North Chadderton,Chadderton Park,,2013-14,Female focussed,,OL9 0BN,Football,12;13;14;15,Oldham,Sustained - Not funded,53.55585917,-2.149791176
Ladybridge High School,Ladybridge SC,,2013-14,No specific focus,,BL3 4NG,Swimming,19;20;21,Bolton,Temporarily inactive,53.56736113,-2.472782554
Leigh Judo Club,Leigh Judo club,,2013-14,Female focussed,,WN7 4JY,Judo,12;13,Wigan,Sustained - Not funded,53.48921049,-2.529674119
St James High,Bolton Trampoline Club,,2013-14,Inclusive (disability) focussed,,BL4 9RU,Gymnastics,11;12;13,Bolton,Sustained - Not funded,53.54511461,-2.416523828
Castle Hill Community Centre,Tonge Cricket Club,,2013-14,No specific focus,,BL2 2JW,Cricket,12;13;14;15,Bolton,Temporarily inactive,53.59425762,-2.411960043
Castle Hill Community Centre,Wheels 4 All Leverhulme,,2013-14,No specific focus,,BL2 2JW,Cycling,11;12;13,Bolton,Sustained - Not funded,53.59425762,-2.411960043
St. Catherine's,Bolton Arena,,2013-14,No specific focus,,BL2 4HU,Cycling,11;12;13,Bolton,Temporarily inactive,53.59308993,-2.384674695
Salford College,Deans Youth & Ladies,,2013-14,Male focussed,,M30 9FJ,Football,14;15;16;17;18,Salford,Sustained - Not funded,53.4957079,-2.336772044
Walkden High School,Deans Youth & Ladies,,2013-14,Male focussed,,M28 7JB,Football,19;20;21,Salford,Sustained - Not funded,53.51390938,-2.382358529
Harper Green School,Sharples Wrestling Club,,2013-14,No specific focus,,BL4 0DH,Wrestling,14;15;16,Bolton,Sustained - Not funded,53.55024003,-2.410913536
Sharples School,Dawson's Academy of Dance,,2013-14,Female focussed,,BL1 8SN,Dance,14;15;16,Bolton,Temporarily inactive,53.60700271,-2.422800759
St Gabriel's High School (Streetshakers Dance & Fitness - Dance),Streetshakers Dance & Fitness,,2013-14,Female focussed,,BL9 0TZ,Dance,14;15;16,Bury,Temporarily inactive,53.58877976,-2.305058137
Rivington & Blackrod School,Horwich RMI Cricket Club,,2013-14,Female focussed,,BL6 7AW,Cricket,14;15;16,Bolton,Sustained - Not funded,53.60145134,-2.546145252
Barlow RC HS,Manchester Waconians,,2013-14,No specific focus,,M20 6BX,Lacrosse,11;12;13,Manchester,Sustained - Not funded,53.41450989,-2.218734981
Lowton HS,Leigh Genesis Football Club,,2013-14,Female focussed,,WA3 1DU,Football,11;12;13,Wigan,Sustained - Not funded,53.47526429,-2.544418191
Youth Zone,Collyhurst & Moston Boxing Club,,2013-14,No specific focus,,M9 8AE,Boxing,11;12;13,Manchester,Sustained - Not funded,53.51434225,-2.211752934
Oldham Sports Centre,North East Manchester Hawks,,2013-14,No specific focus,,OL1 3HA,Handball,14;15;16;17;18,Oldham,Sustained - Funded,53.54334372,-2.110521773
Royton And Crompton School,RSC Basketball Club,,2013-14,Male focussed,,OL2 6NT,Basketball,11;12;13,Oldham,Sustained - Not funded,53.56666692,-2.105267113
Saddleworth School,Saddleworth BB Club,,2013-14,No specific focus,,OL3 6BU,Basketball,11;12;13,Oldham,Temporarily inactive,53.55172793,-2.001962402
The Oldham Academy North,Hathershaw Netball Club,,2013-14,Female focussed,,OL2 5BF,Netball,11;12;13;14;15,Oldham,Sustained - Not funded,53.56050891,-2.124306173
St Patricks RC High School,Salford Volleyball Club,,2013-14,Female focussed,,M30 7JJ,Volleyball,14;15;16,Salford,Sustained - Not funded,53.48262838,-2.364278412
Salford Academy,Salford Volleyball Club,,2013-14,Female focussed,,M30 7PQ,Volleyball,14;15;16,Salford,Sustained - Not funded,53.4784051,-2.378166412
Bramhall Cheerleading Satellite Club (Bramhall High School),Team Spirit,,2013-14,Female focussed,,SK7 2JT,Dance,11;12;13,Stockport,Sustained - Not funded,53.36682499,-2.151667364
Avondale Avalanche Dodgeball Club (Stockport Academy),Manchester Bees,,2013-14,No specific focus,,SK3 0UP,Dodgeball,11;12;13,Stockport,Sustained - Not funded,53.39959436,-2.182303107
Partington Youth Club,Irlam ABC,,2013-14,No specific focus,,M31 4FA,Boxing,11;12;13,Trafford,Sustained - Not funded,53.41583155,-2.420285322
St Thomas More RC College,Denton Netball Club,,2013-14,Female focussed,,M34 6AF,Netball,11;12;13,Tameside,Sustained - Not funded,53.45082189,-2.112871693
Fairfield High School,Tameside Volleyball Club,,2013-14,Female focussed,,M43 6AB,Volleyball,11;12;13,Tameside,Sustained - Not funded,53.47486415,-2.149867437
Altrincham Girls Grammar,Pyramid Ventura BC,,2013-14,Female focussed,,WA14 2NL,Badminton,11;12;13;14;15,Trafford,Sustained - Not funded,53.38095367,-2.359049919
Ashton on Mersey School,Brooklands Hockey Club,,2015-16,No specific focus,,M33 5BP,Hockey,11;12;13;14;15;16,Trafford,Sustained - Not funded,53.41919542,-2.337566708
Kingsway Tennis Satellite Club,Cheadle Sports Club,,2013-14,No specific focus,,SK8 4QX,Tennis,11;12;13,Stockport,Sustained - Not funded,53.38671993,-2.225193753
Manor High School,Trafford Basketball,,2013-14,Inclusive (disability) focussed,,M33 5JX,Basketball,14;15;16,Trafford,Sustained - Not funded,53.42571443,-2.352593894
Flixton Girls School,Urmston Tennis Club,,2013-14,Female focussed,,M41 5DR,Tennis,11;12;13,Trafford,Sustained - Not funded,53.44943132,-2.36967163
Hope School,SDU Multisport,,2013-14,Inclusive (disability) focussed,,WN3 6SP,Goalball,14;15;16,Wigan,Sustained - Not funded,53.52080484,-2.655617589
Winstanley College,Seahawks Volleyball Club,,2013-14,No specific focus,,WN5 7XF,Volleyball,16;17;18,Wigan,Sustained - Not funded,53.52384246,-2.700167576
Standish HS,Seahawks Volleyball Club,,2013-14,No specific focus,,WN6 0NX,Volleyball,14;15;16,Wigan,Sustained - Not funded,53.59246208,-2.671549461
Stockport College Futsal Satellite Club,Stockport Futsal Club,,2013-14,Male focussed,,SK1 3UQ,Football,17;18,Stockport,Sustained - Not funded,53.40401656,-2.157515968
Manchester Enterprise Academy,Fletcher Moss,,2013-14,Inclusive (disability) focussed,,M22 9RH,Football,11;12;13,Manchester,Sustained - Not funded,53.38050353,-2.27067134
North City Family & Fitness Centre,Harpurhey Swimming Club,,2013-14,No specific focus,,M9 4DA,Swimming,11;12;13,Manchester,Sustained - Not funded,53.51248848,-2.20773202
North Chadderton,Chadderton Park,,2013-14,Female focussed,,OL9 0BN,Netball,11;12;13;14;15;16,Oldham,Sustained - Not funded,53.55585917,-2.149791176
COM HC Benchill,City of Manchester Hockey Club,,2013-14,No specific focus,,M22 8EJ,Hockey,11;12;13,Manchester,Sustained - Not funded,53.39339871,-2.264872753
Tameside Titans (Samuel Laycock HS),Curzon Ashton FC,,2013-14,Inclusive (disability) focussed,,OL6 8RF,Football,14;15;16,Tameside,Sustained - Not funded,53.5054763,-2.081908922
The Powerhouse,Flava Netball Club,,2013-14,Female focussed,,M14 4SQ,Netball,11;12;13,Manchester,Sustained - Not funded,53.45665212,-2.242492914
University of Salford Archery club,Moorside Archery Club,,2013-14,No specific focus,,M5 4WT,Archery,19;20;21,Salford,Sustained - Not funded,53.48323989,-2.269214888
Hathershaw College,Hathershaw Netball Club,,2013-14,Female focussed,,OL8 3EP,Netball,11;12;13,Oldham,Sustained - Not funded,53.52233553,-2.110436915
Withington TC,Tennis Group Manchester,,2013-14,Female focussed,,M14 6BL,Tennis,14;15;16,Manchester,Sustained - Not funded,53.43924896,-2.223740005
The Factory Youth Zone,Trampolining Club,,2013-14,No specific focus,,M9 8AE,Gymnastics,11;12;13,Manchester,Sustained - Not funded,53.51434225,-2.211752934
Urmston Grammar School,Urmston Tennis Club,,2014-15,No specific focus,,M41 5UG,Tennis,15,Trafford,Sustained - Not funded,53.45029804,-2.35961941
Wellington School,Timperley Sports Club,,2014-15,No specific focus,,WA15 7RH,Multisport,15,Trafford,Sustained - Not funded,53.39240163,-2.332812884
Blessed Thomas Holford School,Timperley Sports Club,,2014-15,No specific focus,,WA15 8HT,Multisport,15,Trafford,Sustained - Not funded,53.38588143,-2.340145074
Altrincham College of Arts,Timperley Sports Club,,2014-15,No specific focus,,WA15 8QW,Multisport,15,Trafford,Sustained - Not funded,53.38377245,-2.322656434
Altrincham College of Arts,Altrincham Table Tennis Club,,2014-15,No specific focus,,WA15 8QW,Table Tennis,15,Trafford,Sustained - Not funded,53.38377245,-2.322656434
Flixton Girls School,Brooklands Lacrosse Club,,2014-15,Female focussed,,M41 5DR,Lacrosse,15,Trafford,Sustained - Not funded,53.44943132,-2.36967163
