age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object_id,outcome_object_name,latitude,longitude,street_id,street_name,lng,lat
18-24,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-01T00:55:00+00:00,FALSE,FALSE,White,Person search,NA,Offensive weapons,bu-no-further-action,A no further action disposal,53.579094,-2.428518,744219,On or near Shopping Area,-2.428518,53.579094
under 10,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-01T16:51:00+00:00,FALSE,TRUE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.481250,-2.236341,725945,On or near Piccadilly,-2.236341,53.48125
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-01T19:21:00+00:00,FALSE,FALSE,White,Person search,NA,Offensive weapons,bu-no-further-action,A no further action disposal,53.535250,-2.579481,737574,On or near Hanmer Street,-2.579481,53.53525
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,NA,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-02T01:37:00+00:00,FALSE,FALSE,White,Person search,NA,Offensive weapons,bu-no-further-action,A no further action disposal,53.535463,-2.150959,736204,On or near Nimble Nook,-2.150959,53.535463
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-02T06:05:00+00:00,FALSE,FALSE,White,Person search,NA,Offensive weapons,bu-no-further-action,A no further action disposal,53.561365,-2.370547,742186,On or near Fletcher Street,-2.370547,53.561365
18-24,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Firearms Act 1968 (section 47),NA,2019-01-02T08:50:00+00:00,FALSE,FALSE,White,Person search,NA,Firearms,bu-no-further-action,A no further action disposal,53.594906,-2.293845,748679,On or near Nightclub,-2.293845,53.594906
10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-02T19:45:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.503325,-2.245720,731015,On or near Ermington Drive,-2.24572,53.503325
10-17,Arrest,TRUE,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2019-01-03T00:57:00+00:00,FALSE,FALSE,Black,Person search,NA,Article for use in theft,bu-arrest,Arrest,53.424731,-2.320946,718256,On or near Shopping Area,-2.320946,53.424731
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-03T00:57:00+00:00,FALSE,FALSE,White,Person search,NA,Article for use in theft,bu-no-further-action,A no further action disposal,53.424731,-2.320946,718256,On or near Shopping Area,-2.320946,53.424731
10-17,Summons / charged by post,TRUE,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2019-01-03T01:30:00+00:00,FALSE,FALSE,Asian,Person search,NA,Offensive weapons,bu-summons,Summons / charged by post,53.503066,-2.226376,730850,On or near Derwent Street,-2.226376,53.503066
