id,postcode,latitude,longitude
1,BL0 0AA,53.647755,-2.312381
2,BL0 0AB,53.647989,-2.312474
3,BL0 0AD,53.649155,-2.313284
4,BL0 0AE,53.650251,-2.313003
5,BL0 0AF,53.648799,-2.311328
6,BL0 0AG,53.647331,-2.30967
7,BL0 0AH,53.649253,-2.312981
8,BL0 0AJ,53.647497,-2.303785
9,BL0 0AL,53.647645,-2.310051
10,BL0 0AN,53.644648,-2.308077
11,BL0 0AP,53.646854,-2.309302
12,BL0 0AQ,53.64708,-2.309426
13,BL0 0AR,53.646442,-2.309437
15,BL0 0AS,53.644735,-2.309076
16,BL0 0AT,53.646597,-2.308394
17,BL0 0AU,53.647318,-2.30784
18,BL0 0AW,53.644676,-2.307563
19,BL0 0AX,53.647416,-2.304724
20,BL0 0AY,53.647639,-2.30527
21,BL0 0AZ,53.647587,-2.308129
22,BL0 0BA,53.64867,-2.309635
23,BL0 0BB,53.650733,-2.310556
24,BL0 0BD,53.650021,-2.30851
25,BL0 0BE,53.650115,-2.307225
26,BL0 0BG,53.650038,-2.308994
27,BL0 0BH,53.6488,-2.307956
28,BL0 0BJ,53.647925,-2.309206
29,BL0 0BL,53.648269,-2.304942
30,BL0 0BN,53.648409,-2.309283
31,BL0 0BQ,53.651352,-2.308353
32,BL0 0BS,53.645881,-2.31347
33,BL0 0BT,53.647077,-2.310364
34,BL0 0BU,53.647939,-2.310218
35,BL0 0BY,53.645423,-2.306979
36,BL0 0BZ,53.645554,-2.30527
37,BL0 0DA,53.644852,-2.305538
38,BL0 0DB,53.644647,-2.304765
39,BL0 0DD,53.646013,-2.301401
40,BL0 0DE,53.649081,-2.303571
41,BL0 0DF,53.649881,-2.303849
42,BL0 0DG,53.652414,-2.3042
43,BL0 0DH,53.646834,-2.303691
44,BL0 0DJ,53.647322,-2.302515
45,BL0 0DL,53.647993,-2.303957
46,BL0 0DN,53.653162,-2.303631
47,BL0 0DP,53.650049,-2.304197
48,BL0 0DQ,53.653977,-2.30108
49,BL0 0DR,53.65165,-2.304497
50,BL0 0DS,53.652422,-2.304609
51,BL0 0DT,53.645477,-2.320654
52,BL0 0DU,53.652519,-2.308816
53,BL0 0DW,53.652444,-2.303172
54,BL0 0DX,53.653018,-2.303554
55,BL0 0DZ,53.653317,-2.302739
56,BL0 0EA,53.653074,-2.302949
57,BL0 0ED,53.654923,-2.30387
58,BL0 0EE,53.654917,-2.302751
59,BL0 0EF,53.655401,-2.303314
60,BL0 0EG,53.660182,-2.303318
61,BL0 0EH,53.655868,-2.303151
62,BL0 0EJ,53.655927,-2.304012
63,BL0 0EL,53.65524,-2.302935
64,BL0 0EP,53.657064,-2.303008
65,BL0 0EQ,53.661411,-2.303446
66,BL0 0ER,53.658024,-2.303741
69,BL0 0ES,53.66311,-2.303444
70,BL0 0FA,53.592627,-2.310206
71,BL0 0FH,53.592627,-2.310206
74,BL0 0FN,53.592627,-2.310206
75,BL0 0FR,53.592627,-2.310206
76,BL0 0FW,53.592627,-2.310206
77,BL0 0FX,53.592627,-2.310206
78,BL0 0FY,53.592627,-2.310206
79,BL0 0FZ,53.592627,-2.310206
80,BL0 0GA,53.592627,-2.310206
81,BL0 0GB,53.592627,-2.310206
82,BL0 0GD,53.592627,-2.310206
83,BL0 0GE,53.592627,-2.310206
84,BL0 0HD,53.650143,-2.303064
85,BL0 0HH,53.653841,-2.30176
86,BL0 0ND,53.658611,-2.309753
87,BL0 0PP,53.652463,-2.316743
88,BL0 0PR,53.654054,-2.31674
89,BL0 0PS,53.654098,-2.316148
90,BL0 0PT,53.651701,-2.315996
91,BL0 0PU,53.651789,-2.316708
92,BL0 0PX,53.652906,-2.315733
93,BL0 0RJ,53.665595,-2.29824
94,BL0 0RX,53.65891,-2.294608
95,BL0 0RZ,53.663338,-2.295941
96,BL0 0SE,53.654509,-2.304079
97,BL0 0SF,53.592627,-2.310206
98,BL0 0SQ,53.654509,-2.304079
99,BL0 0WA,53.592627,-2.310206
100,BL0 0WW,53.592627,-2.310206
101,BL0 0WX,53.592627,-2.310206
102,BL0 0WY,53.592627,-2.310206
103,BL0 0WZ,53.592627,-2.310206
104,BL0 0XB,53.592627,-2.310206
105,BL0 0YX,53.592627,-2.310206
106,BL0 0YY,53.592627,-2.310206
107,BL0 0ZW,53.592627,-2.310206
108,BL0 9AA,53.64725,-2.316613
109,BL0 9AB,53.647989,-2.314998
110,BL0 9AD,53.648578,-2.317546
111,BL0 9AE,53.649146,-2.319349
112,BL0 9AF,53.648292,-2.319373
113,BL0 9AG,53.648478,-2.317878
114,BL0 9AH,53.649345,-2.322179
